ID,Título,Artista,YouTube ID,Vistas
"e7cb5934-764b-4791-88a4-c39cf4ce89db","SPACEMAN feat. @FiNCHOFFiCiAL","Electric Callboy","Xx1uLMvsmvk",19009570
"4ecdad60-f45b-4f3a-ba9f-3b7d9bf3fb78","PUMP IT","Electric Callboy","OnzkhQsmSag",37556356
"cb12a38f-34d3-42ed-91f0-7a852f866af3","STILL WAITING","Electric Callboy","wPZnearOJbM",2617367
"0b9689e0-9b23-414e-9bfd-b1e42ee819dc","ELEVATOR OPERATOR","Electric Callboy","BiP0FpY88E4",15837141
"5f42c7a8-6d93-407b-a093-e53324f06f52","WE GOT THE MOVES","Electric Callboy","D1NdGBldg3w",70796585
"34667c14-6dad-4d0f-9b0c-7e48cc675624","TANZNEID","Electric Callboy","3OrHy_TRudo",418485
"060de748-f72a-4320-ab28-e5f124f46e57","METALLICA","YUNG BEEF","gf2z_UJ8Zhw",23838192
"6ed0a38f-364e-44d0-8810-746ed8422221","Fermín","Almendra","uZEBOZ1_iIw",620787
"d9bd79f7-b491-4d91-aed8-5e18e53a2983","Color Humano","Almendra","hg3dNrkVYaw",385075
"9223472c-fa22-408a-b97f-83ec70246041","Muchacha (Ojos de Papel)","Almendra","33bSMJF-SfE",356876
"1e95b9d3-2fdb-40f2-b940-44424b497321","Almendra","Cuba L.A.","3JUvRSFDmwg",78207
"7660f35b-16cc-4555-af4f-f25f35a311ea","Almendra","Anttonias","YEUtZdW8UqA",8070
"82584562-e989-4465-819c-6d8bcd3d7910","Plegaria para un Niño Dormido","Almendra","9LvFHvHzglo",128415
"69ceb8bc-8597-427b-9059-7a08f8b7ac54","Que el Viento Borró Tus Manos","Almendra","L4ZZMh8YROA",624307
"54c10e79-0932-45c6-9607-1c23f7ec8235","Ana No Duerme","Almendra","Cg2EdtBguc4",731282
"e62cea05-1c1f-442d-841e-b81fd97d1684","A Estos Hombres Tristes","Almendra","mXyamTEFa6M",9375948
"de3987e0-f313-4846-b421-67dcbb14d837","Bicho de Ciudad","Los Piojos","DdzF5zF6DBY",3079364
"ce44b4a3-29f2-43d7-b3c9-fed12aaef23f","Civilización","Los Piojos","ADzneYl_5As",8254023
"7bab0e75-9ff0-4acf-83db-bac59da0c627","Desde Lejos No Se Ve","Los Piojos","uley2e_KoWY",4385251
"22a0f396-e408-4c46-8a67-3a9b1b50fc52","Ando Ganas (Llora Llora)","Los Piojos","BTTEwWQX590",17519007
"bfdd6da2-254c-4aa6-885d-752a4645de62","Te Diría","Los Piojos","ygNImuEuFAw",1299432
"7c02c167-2105-4223-a662-942ce2b952f7","Tan Solo","Los Piojos","QyRnUwqWjE0",2045498
"2422945d-1c60-4f29-b682-6c50066e964b","Paciencia","Los Piojos","ThzksxE1zxA",700400
"1d85c225-306f-48f5-969c-b77d87c32f71","Vine Hasta Aquí","Los Piojos","j5ULRY31s0s",22151087
